FCLTY_NM,RDNMADR_NM,CTPRVN_CD,SIGNGU_CD,FCLTY_LO,FCLTY_LA,AREA_NM,REPRSNT_MENU_NM,MENU_PRC,BASE_DE,lat,lon,price
동승춘,강원도 삼척시 대학로 12,42,42230,129.163506,37.44220264,강원,짜장면,4500.0,20241231,37.44220264,129.163506,4500.0
함흥막국수,강원도 속초시 중앙로54번길 3,42,42210,128.5824148,38.20042056,강원,함흥회냉면,8000.0,20241231,38.20042056,128.5824148,8000.0
함흥냉면옥,강원도 속초시 청초호반로 299,42,42210,128.5898688,38.20199299,강원,함흥냉면,8000.0,20241231,38.20199299,128.5898688,8000.0
진미통닭,강원도 원주시 우산로 66,42,42130,127.9369795,37.36947384,강원,후라이드치킨,16000.0,20241231,37.36947384,127.9369795,16000.0
시골집,강원도 원주시 중평길 10-1,42,42130,127.9502462,37.34917691,강원,양구이,32000.0,20241231,37.34917691,127.9502462,32000.0
원주복추어탕,강원도 원주시 치악로 1748,42,42130,127.9564123,37.33856086,강원,한우 추어탕(통),12000.0,20241231,37.33856086,127.9564123,12000.0
미락정갈비,강원도 정선군 정선읍 녹송1길 18,42,42770,128.6719784,37.38198063,강원,미락정 정식,10000.0,20241231,37.38198063,128.6719784,10000.0
철원막국수,강원도 철원군 갈말읍 명성로158번길 13,42,42780,127.3087328,38.1461613,강원,물막국수,7000.0,20241231,38.1461613,127.3087328,7000.0
명가춘천막국수,강원도 춘천시 당간지주길 76,42,42110,127.7238715,37.89224079,강원,순메밀막국수,7000.0,20241231,37.89224079,127.7238715,7000.0
도지골등나무집,강원도 춘천시 상천3길 2,42,42110,127.7927658,37.93285994,강원,잡어매운탕,40000.0,20241231,37.93285994,127.7927658,40000.0
보문각,강원도 춘천시 약사고개길42번길 3,42,42110,127.7263008,37.87468438,강원,짜장면,5000.0,20241231,37.87468438,127.7263008,5000.0
조선옥갈비,강원도 태백시 시장북2길 5-1,42,42190,128.9919355,37.17351571,강원,생 갈비 1인분(2대),30000.0,20241231,37.17351571,128.9919355,30000.0
남한산성은행나무집,경기도 광주광역시시 남한산성면 남한산성로 772,41,41610,127.1847846,37.47816571,경기,한방백숙,50000.0,20241231,37.47816571,127.1847846,50000.0
미락복집,경기도 성남시 분당구 구미로9번길 25 108호,41,41130,127.1099401,37.34038016,경기,참복매운탕,25000.0,20241231,37.34038016,127.1099401,25000.0
옻닭집,경기도 수원시 권선구 정조로 423,41,41110,127.0132769,37.24719571,경기,옻닭,13000.0,20241231,37.24719571,127.0132769,13000.0
민물추어탕,경기도 수원시 영통구 중부대로 286,41,41110,127.0468224,37.27350087,경기,추어탕,10000.0,20241231,37.27350087,127.0468224,10000.0
대원옥,경기도 수원시 팔달구 정조로800번길 6-3,41,41110,127.0172952,37.27933785,경기,전통평양냉면,10000.0,20241231,37.27933785,127.0172952,10000.0
장안면옥,경기도 안성시 중앙로371번길 54,41,41550,127.2694862,37.00992999,경기,평양냉면,8000.0,20241231,37.00992999,127.2694862,8000.0
안일옥본점,경기도 안성시 중앙로411번길 20,41,41550,127.2728959,37.00767512,경기,설렁탕,8000.0,20241231,37.00767512,127.2728959,8000.0
봉암식당,경기도 안양시 만안구 예술공원로245번길 15,41,41170,126.9324833,37.41920143,경기,토종닭볶음탕,49000.0,20241231,37.41920143,126.9324833,49000.0
덕화원,경기도 양주시 덕정길 4,41,41630,127.0625666,37.84407578,경기,간짜장,6500.0,20241231,37.84407578,127.0625666,6500.0
지동관,경기도 의정부시 호국로1298번길 78,41,41150,127.0482855,37.73996173,경기,삼선짜장면,7000.0,20241231,37.73996173,127.0482855,7000.0
이천용인닭발본점,경기도 이천시 중리천로21번길 11,41,41500,127.440427,37.28101463,경기,닭발 소,7000.0,20241231,37.28101463,127.440427,7000.0
고복례냉면,경기도 평택시 조개터로1번길 71,41,41220,127.0997261,36.98968557,경기,냉면,9900.0,20241231,36.98968557,127.0997261,9900.0
이화회집,경기도 화성시 매화길 8,41,41450,126.7948905,37.02760096,경기,낙지전골(1인),20000.0,20241231,37.02760096,126.7948905,20000.0
대동할매국수,경상남도 김해시 대동면 동남로45번길 8,48,48250,128.9937554,35.23694292,경남,대동할매국수 보통,4000.0,20241231,35.23694292,128.9937554,4000.0
화정소바,경상남도 의령군 의령읍 의병로18길 9-3,48,48720,128.2605744,35.3189107,경남,온소바,6000.0,20241231,35.3189107,128.2605744,6000.0
중앙집,경상남도 진주시 남강로673번길 6,48,48170,128.0856223,35.19171055,경남,매운탕,8000.0,20241231,35.19171055,128.0856223,8000.0
하동집,경상남도 진주시 중앙시장길 29-5,48,48170,128.0849408,35.19471199,경남,복국,11000.0,20241231,35.19471199,128.0849408,11000.0
이방식당,경상남도 창녕군 이방면 옥야길 1,48,48740,128.382678,35.6016186,경남,수구레국밥,7000.0,20241231,35.6016186,128.382678,7000.0
불로식당,경상남도 창원시 마산합포구 남성로 137,48,48125,128.5765195,35.20532447,경남,한정식,15000.0,20241231,35.20532447,128.5765195,15000.0
화성갈비,경상남도 창원시 마산합포구 오동서7길 36,48,48125,128.5760283,35.20774744,경남,소갈비 270g,23000.0,20241231,35.20774744,128.5760283,23000.0
봉래식당,경상남도 창원시 마산합포구 진동면 사동길 15,48,48125,128.4814995,35.11450263,경남,민물장어구이 (1인분),35000.0,20241231,35.11450263,128.4814995,35000.0
거구장갈비,경상남도 통영시 동충2길 22-3,48,48220,128.4229865,34.84042976,경남,특수부위 100g,35000.0,20241231,34.84042976,128.4229865,35000.0
호동식당,경상남도 통영시 새터길 47,48,48220,128.4192988,34.8416119,경남,복국,12000.0,20241231,34.8416119,128.4192988,12000.0
숙영식당,경상북도 경주시 계림로 60,47,47130,129.2138444,35.8396549,경북,찰보리밥 정식,10000.0,20241231,35.8396549,129.2138444,10000.0
진가네대구갈비,경상북도 경주시 북정로 5,47,47130,129.2151396,35.84144724,경북,돼지갈비찜,10000.0,20241231,35.84144724,129.2151396,10000.0
외바우,경상북도 경주시 안강읍 구부랑3길 12,47,47130,129.1955855,36.00112272,경북,버섯(낙불삼) 철판볶음(매운맛선택),15000.0,20241231,36.00112272,129.1955855,15000.0
경복궁식당,경상북도 김천시 대항면 황학동길 11-8,47,47150,128.016398,36.11478993,경북,특 모듬 한정식,20000.0,20241231,36.11478993,128.016398,20000.0
부일산채식당,경상북도 김천시 황학동길 35-1,47,47150,128.017395,36.11517213,경북,산채한정식,13000.0,20241231,36.11517213,128.017395,13000.0
축산식육식당,경상북도 영주시 번영로173번길 10,47,47210,128.6240193,36.82681906,경북,한우갈비살,25000.0,20241231,36.82681906,128.6240193,25000.0
나드리,경상북도 영주시 중앙로 89,47,47210,128.6248446,36.82336332,경북,쫄면,6000.0,20241231,36.82336332,128.6248446,6000.0
월성,경상북도 포항시 남구 철강로 663,47,47111,129.3988719,35.96388545,경북,바다메기 매운탕(물메기 미역치),10000.0,20241231,35.96388545,129.3988719,10000.0
평남식당,경상북도 포항시 북구 죽도시장3길 9-16,47,47113,129.3654507,36.03584143,경북,한우수육小,35000.0,20241231,36.03584143,129.3654507,35000.0
평남식당,경상북도 포항시 북구 죽도시장3길 9-16,47,47113,129.3654507,36.03584143,경북,곰탕,10000.0,20241231,36.03584143,129.3654507,10000.0
민들레,광주광역시 서구 상무평화로 137,29,29140,126.8532977,35.1499914,광주,크림치즈아인슈페너,6800.0,20241231,35.1499914,126.8532977,6800.0
일본식민물장어 스미센,대구광역시 동구 동부로30길 15,27,27140,128.6290617,35.87564648,대구,문어 나가사키 짬뽕 나베,35000.0,20241231,35.87564648,128.6290617,35000.0
대동강식당,대구광역시광역시 남구 대봉로 57-1,27,27200,128.6039187,35.84388031,대구,냉면,9000.0,20241231,35.84388031,128.6039187,9000.0
정화네하우스,대구광역시광역시 북구 칠성남로 216,27,27230,128.6037912,35.87621945,대구,석쇠 돼지 불고기,5000.0,20241231,35.87621945,128.6037912,5000.0
광명반점,대구광역시광역시 북구 칠성로 70-1,27,27230,128.5968994,35.87911799,대구,옛날 짜장면,5000.0,20241231,35.87911799,128.5968994,5000.0
참깨국수,대구광역시광역시 수성구 무학로31길 55,27,27290,128.6265725,35.83301807,대구,참깨콩국수,7000.0,20241231,35.83301807,128.6265725,7000.0
산호찜갈비,대구광역시광역시 중구 동덕로36길 9-9,27,27110,128.6048718,35.8708757,대구,찜갈비,16000.0,20241231,35.8708757,128.6048718,16000.0
형제돌구이식당,대전광역시광역시 유성구 계룡로52번길 14,30,30200,127.3363797,36.35446271,대전,냉동삼겹살,12000.0,20241231,36.35446271,127.3363797,12000.0
풍년오리박사,부산광역시 금정구 청룡로 40,26,26410,129.0882583,35.27590529,부산,유황 오리 불고기(700g),39000.0,20241231,35.27590529,129.0882583,39000.0
온천입구기장곰장어,부산광역시 동래구 시실로 20,26,26260,129.0859914,35.21690678,부산,갯장어소금구이  양념구이  통구이 대,30000.0,20241231,35.21690678,129.0859914,30000.0
88완당집,부산광역시 해운대구광역시 반송로924번길 3-1,26,26350,129.1548166,35.23253503,부산,완당,5500.0,20241231,35.23253503,129.1548166,5500.0
일송면옥,부산광역시광역시 금정구 부곡로141번길 6,26,26410,129.0918194,35.22870534,부산,밀면(물 / 비빔),6000.0,20241231,35.22870534,129.0918194,6000.0
창녕집,부산광역시광역시 금정구 산성로 520,26,26410,129.0552953,35.24453101,부산,토종 흑염소 숯불구이,35000.0,20241231,35.24453101,129.0552953,35000.0
동래할매파전,부산광역시광역시 동래구 명륜로94번길 43-10,26,26260,129.0837638,35.20466973,부산,동래파전,22000.0,20241231,35.20466973,129.0837638,22000.0
77돌곱창,부산광역시광역시 사상구 괘감로 96-1,26,26530,128.9849238,35.15719355,부산,곱창전골,30000.0,20241231,35.15719355,128.9849238,30000.0
