사업장명,좌표정보(Y),좌표정보(X),위생업태명
카페네스카페시흥까르푸점,438865.1607,191152.4326,커피숍
쇼네 주식회사,443305.5024,201730.7827,커피숍
스타벅스 서초우성사거리점,443478.8069,202513.1194,커피숍
윤'S커피앤빵,445443.68,192026.1002,커피숍
파스쿠찌 장안사거리점,452172.4532,206279.69,커피숍
한마음C&C,443464.0336,190918.9806,커피숍
델리파크,446472.986,187562.6742,커피숍
모노커피,444741.4375,200115.1432,커피숍
Cafe Musto(카페 무스토),442018.9561,199337.6292,커피숍
카페올레(CAFFE OLLE),444524.5271,192630.2045,커피숍
Clatage(클래티지),445992.4593,201230.6934,커피숍
컵(CUP) 커피,441272.9917,190253.881,커피숍
이디야 가산벽산,441618.0716,189829.5041,커피숍
텐퍼센트커피,440521.8552,189920.5286,커피숍
방배과일카페,443825.9651,198845.6578,커피숍
초콜릿아트,443430.5841,201487.0796,커피숍
디저트콩콩,452692.5088,192260.2999,커피숍
엔젤디오커피,451381.5855,194584.9592,커피숍
까레포머(carre former),440764.4263,190694.8803,커피숍
달리는커피 양재우면점,439441.2925,201286.185,커피숍
에그스탑 가산디지털점,442066.9987,189378.3325,커피숍
커피베이 방배카페거리점,443704.9957,198653.0039,커피숍
호호플,451889.4306,196509.7304,커피숍
바나프레소 가산안양천점,441817.1646,189035.651,커피숍
포티올리,444960.9569,200450.5089,커피숍
(주)커피빈코리아 교보타워옆점,444467.7144,202146.765,커피숍
해리스카페,441046.4737,204361.6635,커피숍
매머드커피익스프레스 답십리역점,451520.0248,204750.4984,커피숍
Healthy rabbit (헬시래빗),442162.4017,199677.2376,커피숍
까페고메,452622.5885,205699.0154,커피숍
cafe人(카페인),442119.7809,188968.1897,커피숍
메가엠지씨커피 양재말죽거리점,442373.9283,203311.511,커피숍
커피앤,454202.157,194431.2109,커피숍
커피니 포이사거리점,441554.935,203862.1,커피숍
카페하트,439252.1515,206059.8566,커피숍
카페 나루터로,446060.4413,201480.0427,커피숍
쁘아롱,438484.8631,191301.6809,커피숍
공차 명지대점,453018.4784,193224.9106,커피숍
커피 프랑스,446100.9171,201591.1668,커피숍
Cafe 문달,442515.9795,199372.3913,커피숍
에이피 스탁 카페(AP stock cafe),442062.2643,203744.473,커피숍
팥수다,442275.3504,200633.6992,커피숍
카페 안다미로,453751.4131,194452.5852,커피숍
카페리빈 홈플러스 금천점,440728.3823,190809.5078,커피숍
미스터브리즈커피,450588.0031,196176.646,커피숍
블루샥(가산DK점),442093.3105,189262.8633,커피숍
쿠아카페,450592.8152,194324.6987,커피숍
달콤커피 양재근린공원점,441138.42,203925.98,커피숍
요거프레소 가산1호점,441342.6601,189417.6783,커피숍
브루앤코,451064.9854,193588.3055,커피숍
우지커피 가산어반워크점,441988.7118,189161.5457,커피숍
커스텀커피 DMC가재울점,452221.9607,192672.0675,커피숍
싱글오리진,440383.506,201879.2655,커피숍
채은,443942.5852,199830.6379,커피숍
스타벅스 금천시흥점,438529.3631,191368.5221,커피숍
빈스앤와플,443426.9146,202523.4274,커피숍
조르막(Jormak),444012.8973,200107.3874,커피숍
킹콩이,443312.729,198448.6806,커피숍
컨시어지 커피(concierge coffee),451819.4656,193914.3259,커피숍
커피베이,452067.0394,192209.3236,커피숍
(주)리빈코리아,444683.2205,200250.4478,커피숍
아스터,451488.7402,193943.0067,커피숍
투썸플레이스 사당역 로데오점,441675.3855,198443.0272,커피숍
Cafe The Tree,444488.19,202117.5922,커피숍
띵크커피코리아(think coffee korea),450433.691,194265.0676,커피숍
코어커피스탠드(coeur coffee stand),443450.6661,201361.2694,커피숍
데일리소유,442811.2584,198709.2415,커피숍
소네트,441982.4279,189538.0209,커피숍
예바팩토리,452461.6767,193216.7457,커피숍
카페다온(cafe DAON),452462.7812,192769.5069,커피숍
다린청,456949.358,206808.9147,커피숍
온리,443634.8932,199012.4714,커피숍
아이큐팔십사츄러스(IQ 84 CHURROS)이대점,450704.16,195083.4262,커피숍
메가엠지씨커피 함지박사거리점,443429.8698,199100.8581,커피숍
하루(HARU),442905.9298,199427.5034,커피숍
앤믹스,442597.2912,200227.508,커피숍
SURU(수르),450708.8852,195059.6166,커피숍
썰쓰티(Thirstea),450669.9861,195077.3993,커피숍
카페 트리니티,442131.2652,198012.7761,커피숍
