SUBWAYST_ROUTE_NO,SUBWAYST_NM,TRRSRT_NM,RDNMADR_NM,CTPRVN_CD,SIGNGU_CD,FCLTY_LO,FCLTY_LA,TEL_NO,HMPG_URL,OPER_TIME,BASE_DE
5호선,여의나루,63 시티,서울특별시 영등포구 63로 50 한화금융센터_63,11,11560,126.939757,37.519576,1833-7001,http://www.63city.co.kr/,10:00~22:00,20221231
1호선,노량진,63빌딩,서울특별시 영등포구 여의동 63로 50,11,11560,126.939757,37.519576,1833-7001,http://www.63.co.kr,10:00~22:00,20221231
9호선,국회의사당,KBS,서울특별시 영등포구 여의공원로 13,11,11560,126.916423,37.525591,02-781-1000,http://www.kbs.co.kr/,,20221231
5호선,여의도,KBS 홀,서울특별시 영등포구 여의공원로 13 한국방송공사,11,11560,126.916423,37.525591,02-781-1000,http://office.kbs.co.kr/kbshall/,,20221231
9호선,가양,KBS스포츠월드,서울특별시 강서구 공항대로 376 KBS88체육관,11,11500,126.8476,37.556809,02-2600-8808,http://www.kbssw.co.kr/,,20221231
5호선,여의나루,LG 사이언스 홀,서울특별시 영등포구 여의대로 128,11,11560,126.928961,37.527804,02-3773-1053,http://www.lgscience.co.kr/,09:00~17:30,20221231
2호선,역삼,LG아트센터,서울특별시 강남구 논현로 508,11,11320,127.037619,37.502141,02-2005-0114,http://www.lgart.com/,,20221231
6호선,디지털미디어시티,MBC WORLD 방송테마파크,서울특별시 마포구 성암로 267,11,11440,126.890441,37.58106,02-789-3705,http://mbcworld.imbc.com/,10:00~18:00,20221231
4호선,명동,N서울타워,서울특별시 용산구 남산공원길 126,11,11170,126.990751,37.550857,02-3455-9277,http://www.nseoultower.com/,10:00~23:00,20221231
8호선,장지역,가든파이브,서울특별시 송파구 충민로 66 가든파이브라이프,11,11710,127.123713,37.477635,02-2157-0100,http://www.garden5.com/,10:30~21:00,20221231
8호선,가락시장,가락동 농수산물시장,서울특별시 송파구 양재대로 932 가락동 농수산물도매시장,11,11710,127.111698,37.49262,02-3435-1000,http://www.garak.co.kr/,,20221231
3호선,신사,가로수길,서울특별시 강남구 신사동,11,11320,127.026502,37.52381,,,,20221231
1호선,방학,가을단풍길(상계근린공원내산책로),서울특별시 노원구 상계동,11,11350,127.07033,37.672997,,,,20221231
1호선,방학,간송옛집,서울특별시 도봉구 방학동,11,11320,127.031062,37.665292,02-954-5757,,,20221231
7호선,반포역,강남지하상가,서울특별시 강남구 강남대로 지하 396 이즈타워,11,11320,127.028306,37.498172,02-553-1898,,,20221231
5호선,강동,강풀만화거리,서울특별시 강동구 천호대로168가길 38-3,11,11740,127.130005,37.535647,02-3425-5252,,,20221231
8호선,천호,강풀만화거리,서울특별시 강동구 천호대로168가길 38-3,11,11740,127.130005,37.535647,02-3425-5252,,,20221231
6호선,안암,개운사,서울특별시 성북구 안암동5가 157-3,11,11290,127.029054,37.589661,02-926-4069,www.gaeunsa.org/,,20221231
5호선,방화,개화산,서울특별시 강서구 개화동,11,11500,126.803586,37.587123,,,,20221231
5호선,거여역,거여공원,서울특별시 송파구 거여동,11,11710,127.14567,37.489555,,,,20221231
9호선,양천향교,겸재정선미술관,서울특별시 강서구 양천로47길 36,11,11500,126.838397,37.572198,,,,20221231
5호선,서대문,경교장,서울특별시 종로구 평동,11,11110,126.966862,37.567923,02-735-2038,,09:00~18:00,20221231
1호선,소요산,경기북부어린이박물관,경기도 동두천시 평화로2910번길 46 (상봉암동),41,41250,127.064438,37.944658,031-860-2860,http://childmus.ddc.go.kr/,10:00~18:00,20221231
6호선,이태원,경리단길,서울특별시 용산구 이태원동,41,11170,126.992524,37.538519,,,,20221231
3호선,경복궁,경복궁,서울특별시 종로구 사직로 161 경복궁,11,11110,126.976965,37.577427,02-3700-3900,http://www.royalpalace.go.kr/,09:00~17:00,20221231
